minute_utc,minute_ms,anchor_source,anchor_price,prev_spot_close,prev_index_close,prev_gap_bp,spot_open,spot_low,spot_close,index_low,index_close,filled_layers_proxy,capital_proxy_usd,qty_proxy_btc,entry_proxy,deepest_filled_bp,index_low_edge_proxy_bp,index_close_edge_proxy_bp,levels_json
2026-02-23 01:07:00,1771808820000,prev_completed_binance_index_close,66242.90673913,66243.43,66242.90673913,0.07899123026788857,66243.43,65849.6,65885.55,65856.53304348,65901.87369565,1,2000,0.030313164493548744,65977.93511217348,40,-18.400404390812586,-11.52831115344144,"[{""offset_bp"":40,""limit_px"":65977.93511217348,""price_through"":true},{""offset_bp"":60,""limit_px"":65845.44929869522,""price_through"":false},{""offset_bp"":80,""limit_px"":65712.96348521697,""price_through"":false},{""offset_bp"":100,""limit_px"":65580.4776717387,""price_through"":false},{""offset_bp"":120,""limit_px"":65447.991858260444,""price_through"":false}]"
2026-02-23 01:09:00,1771808940000,prev_completed_binance_index_close,65730.44652174,65743.15,65730.44652174,1.9326627053706247,65743.15,65364.13,65560.0,65381.80913043,65577.91413043,1,2000,0.03054949775595865,65467.52473565304,40,-13.092843447058966,16.86170284010302,"[{""offset_bp"":40,""limit_px"":65467.52473565304,""price_through"":true},{""offset_bp"":60,""limit_px"":65336.06384260956,""price_through"":false},{""offset_bp"":80,""limit_px"":65204.60294956608,""price_through"":false},{""offset_bp"":100,""limit_px"":65073.1420565226,""price_through"":false},{""offset_bp"":120,""limit_px"":64941.681163479116,""price_through"":false}]"
2026-02-23 01:10:00,1771809000000,prev_completed_binance_index_close,65577.91413043,65560.0,65577.91413043,-2.7317322710762593,65559.99,65264.16,65432.49,65275.44130435,65402.56913043,1,2000,0.030620555031991674,65315.60247390828,40,-6.148786513041626,13.31483645985898,"[{""offset_bp"":40,""limit_px"":65315.60247390828,""price_through"":true},{""offset_bp"":60,""limit_px"":65184.44664564742,""price_through"":false},{""offset_bp"":80,""limit_px"":65053.29081738656,""price_through"":false},{""offset_bp"":100,""limit_px"":64922.1349891257,""price_through"":false},{""offset_bp"":120,""limit_px"":64790.97916086484,""price_through"":false}]"
2026-02-23 01:46:00,1771811160000,prev_completed_binance_index_close,65005.16326087,65000.83,65005.16326087,-0.6666025670321041,65000.83,64720.0,64720.01,64766.91869565,64766.91869565,1,2000,0.030890348209044426,64745.14260782652,40,3.363354677490271,3.363354677490271,"[{""offset_bp"":40,""limit_px"":64745.14260782652,""price_through"":true},{""offset_bp"":60,""limit_px"":64615.13228130478,""price_through"":false},{""offset_bp"":80,""limit_px"":64485.12195478304,""price_through"":false},{""offset_bp"":100,""limit_px"":64355.1116282613,""price_through"":false},{""offset_bp"":120,""limit_px"":64225.10130173956,""price_through"":false}]"
2026-02-23 01:47:00,1771811220000,prev_completed_binance_index_close,64766.91869565,64720.01,64766.91869565,-7.242693738516159,64720.01,64290.71,64887.84,64316.365,64870.40934783,2,4000,0.06207033843948652,64443.01900979115,60,-19.65364313113671,66.32065731959402,"[{""offset_bp"":40,""limit_px"":64507.8510208674,""price_through"":true},{""offset_bp"":60,""limit_px"":64378.317183476094,""price_through"":true},{""offset_bp"":80,""limit_px"":64248.7833460848,""price_through"":false},{""offset_bp"":100,""limit_px"":64119.249508693494,""price_through"":false},{""offset_bp"":120,""limit_px"":63989.7156713022,""price_through"":false}]"
2026-02-23 17:51:00,1771869060000,prev_completed_binance_index_close,64452.96586957,64453.24,64452.96586957,0.042531856572214366,64453.25,64180.23,64236.0,64227.84782609,64230.89,1,2000,0.031154999640786166,64195.15400609172,40,5.092879751511514,5.566774386878137,"[{""offset_bp"":40,""limit_px"":64195.15400609172,""price_through"":true},{""offset_bp"":60,""limit_px"":64066.24807435258,""price_through"":false},{""offset_bp"":80,""limit_px"":63937.34214261344,""price_through"":false},{""offset_bp"":100,""limit_px"":63808.4362108743,""price_through"":false},{""offset_bp"":120,""limit_px"":63679.53027913516,""price_through"":false}]"
2026-02-24 01:15:00,1771895700000,prev_completed_binance_index_close,64325.07195652,64324.95,64325.07195652,-0.01895940669682794,64324.95,64049.56,64118.0,64152.62652174,64152.62652174,1,2000,0.03121694336962995,64067.77166869392,40,13.244545710888733,13.244545710888733,"[{""offset_bp"":40,""limit_px"":64067.77166869392,""price_through"":true},{""offset_bp"":60,""limit_px"":63939.12152478088,""price_through"":false},{""offset_bp"":80,""limit_px"":63810.471380867835,""price_through"":false},{""offset_bp"":100,""limit_px"":63681.8212369548,""price_through"":false},{""offset_bp"":120,""limit_px"":63553.171093041754,""price_through"":false}]"
2026-02-24 01:16:00,1771895760000,prev_completed_binance_index_close,64152.62652174,64118.0,64152.62652174,-5.39752206844768,64118.0,63508.4,63660.71,63579.97652826,63620.29057391,4,8000,0.12558231910975035,63703.235110736794,100,-19.348873297020397,-13.020459115240524,"[{""offset_bp"":40,""limit_px"":63896.01601565304,""price_through"":true},{""offset_bp"":60,""limit_px"":63767.71076260956,""price_through"":true},{""offset_bp"":80,""limit_px"":63639.40550956608,""price_through"":true},{""offset_bp"":100,""limit_px"":63511.1002565226,""price_through"":true},{""offset_bp"":120,""limit_px"":63382.79500347912,""price_through"":false}]"
2026-02-24 01:39:00,1771897140000,prev_completed_binance_index_close,64413.15282609,64398.88,64413.15282609,-2.2158247910231132,64398.88,64125.21,64146.78,64142.93978261,64145.65978261,1,2000,0.03117425619478014,64155.50021478564,40,-1.9578106528028716,-1.533840768555006,"[{""offset_bp"":40,""limit_px"":64155.50021478564,""price_through"":true},{""offset_bp"":60,""limit_px"":64026.67390913346,""price_through"":false},{""offset_bp"":80,""limit_px"":63897.84760348128,""price_through"":false},{""offset_bp"":100,""limit_px"":63769.0212978291,""price_through"":false},{""offset_bp"":120,""limit_px"":63640.19499217692,""price_through"":false}]"
2026-02-24 03:03:00,1771902180000,prev_completed_binance_index_close,63897.10608696,63891.39,63897.10608696,-0.8945768142021304,63891.39,63604.43,63702.63,63662.00652174,63695.49173913,1,2000,0.03142602617685454,63641.51766261215,40,3.2194171164290353,8.480953707608041,"[{""offset_bp"":40,""limit_px"":63641.517662612154,""price_through"":true},{""offset_bp"":60,""limit_px"":63513.723450438236,""price_through"":false},{""offset_bp"":80,""limit_px"":63385.92923826432,""price_through"":false},{""offset_bp"":100,""limit_px"":63258.13502609039,""price_through"":false},{""offset_bp"":120,""limit_px"":63130.340813916475,""price_through"":false}]"
