start_utc,end_utc,minutes,max_layers,max_capital_proxy_usd,worst_spot_low,min_index_low_edge_proxy_bp,max_index_close_edge_proxy_bp
2026-02-28 14:51:00,2026-02-28 14:51:00,1,1,2000,64446.68,-2.6025743620028408,-2.6025743620028408
2026-03-01 01:11:00,2026-03-01 01:11:00,1,1,2000,66184.61,-5.392042940961517,-3.597473211662816
2026-03-01 02:08:00,2026-03-01 02:08:00,1,1,2000,67755.8,2.3191078849338354,2.3191078849338354
2026-03-01 02:48:00,2026-03-01 02:48:00,1,1,2000,67774.34,-1.3208793026797672,-1.3208793026797672
2026-03-01 08:51:00,2026-03-01 08:51:00,1,1,2000,66598.37,6.357112873200954,6.357112873200954
2026-03-01 13:55:00,2026-03-01 13:55:00,1,1,2000,66887.5,3.3479139141245895,7.090042806776609
2026-03-01 16:47:00,2026-03-01 16:50:00,4,2,4000,65730.28,-3.8705306367137204,21.091677727258507
2026-03-01 17:17:00,2026-03-01 17:17:00,1,1,2000,65699.98,2.216703722124347,5.131732642134068
2026-03-01 22:34:00,2026-03-01 22:34:00,1,2,4000,65270.67,-15.769222995244414,-15.213906240573172
2026-03-02 02:06:00,2026-03-02 02:06:00,1,2,4000,66150.0,-6.288568316731302,-6.288568316731302
2026-03-02 02:10:00,2026-03-02 02:10:00,1,1,2000,65892.0,2.550438887825024,2.550438887825024
2026-03-02 04:35:00,2026-03-02 04:35:00,1,1,2000,66633.32,19.378419469571195,19.412044707740606
2026-03-02 09:23:00,2026-03-02 09:23:00,1,1,2000,66428.08,3.604165051298569,5.614461623286715
2026-03-02 15:53:00,2026-03-02 15:53:00,1,1,2000,68932.16,0.7540921148141422,0.7540921148141422
2026-03-02 17:43:00,2026-03-02 17:43:00,1,1,2000,68803.18,2.2389548917334245,3.914385380994201
2026-03-03 09:31:00,2026-03-03 09:31:00,1,1,2000,66340.14,5.177674411001032,5.303836854753108
2026-03-03 14:33:00,2026-03-03 14:33:00,1,1,2000,66810.89,-8.96924690817591,-3.93565623748926
2026-03-03 14:40:00,2026-03-03 14:40:00,1,1,2000,66758.0,7.055952510905961,7.600078174028191
2026-03-03 14:42:00,2026-03-03 14:42:00,1,1,2000,66471.42,-2.9199899510967686,-2.9199899510967686
2026-03-03 14:49:00,2026-03-03 14:49:00,1,1,2000,66158.0,-2.8316262053995622,13.523526659444673
2026-03-03 16:38:00,2026-03-03 16:38:00,1,1,2000,67796.66,-8.981127304398262,-4.527029189420606
2026-03-03 16:42:00,2026-03-03 16:42:00,1,1,2000,67529.15,3.4013517900088885,13.900603950449675
2026-03-04 09:07:00,2026-03-04 09:07:00,1,1,2000,70870.01,-0.0062109085074979475,-0.0062109085074979475
2026-03-04 14:35:00,2026-03-04 14:36:00,2,1,2000,71753.22,-4.20073159482226,2.4479964754586803
2026-03-04 17:17:00,2026-03-04 17:17:00,1,1,2000,73422.9,1.5916772624824382,1.5916772624824382
2026-03-04 18:10:00,2026-03-04 18:10:00,1,1,2000,72964.93,-4.2814574808747174,-2.748183938129367
2026-03-05 14:39:00,2026-03-05 14:39:00,1,2,4000,72153.39,-12.3706612891894,-7.877589638088933
2026-03-05 23:33:00,2026-03-05 23:33:00,1,1,2000,70811.44,18.612316702022458,20.45786916936354
2026-03-06 04:40:00,2026-03-06 04:40:00,1,1,2000,70400.0,12.064325023752875,12.064325023752875
2026-03-06 13:30:00,2026-03-06 13:30:00,1,1,2000,69750.0,6.268496537242818,21.496411072874366
2026-03-06 13:55:00,2026-03-06 13:55:00,1,3,6000,69387.89,-2.1039987252247094,-2.1039987252247094
2026-03-06 14:00:00,2026-03-06 14:00:00,1,1,2000,68894.17,-5.246688604122474,-4.876318237700961
2026-03-06 14:09:00,2026-03-06 14:09:00,1,1,2000,68654.18,5.198174203009387,5.198174203009387
2026-03-06 14:35:00,2026-03-06 14:35:00,1,1,2000,68600.0,3.0146020994892275,9.98590369765573
2026-03-08 22:00:00,2026-03-08 22:00:00,1,1,2000,66729.67,3.571779864914859,3.9846431763801426
2026-03-08 22:03:00,2026-03-08 22:04:00,2,4,8000,65741.28,-12.080481017587852,0.27299616949694183
2026-03-08 22:12:00,2026-03-08 22:12:00,1,1,2000,65684.77,-1.7878507824931056,-1.7878507824931056
2026-03-09 03:20:00,2026-03-09 03:20:00,1,1,2000,67301.28,-4.959364976667713,-4.959364976667713
2026-03-09 21:40:00,2026-03-09 21:40:00,1,1,2000,68660.94,3.6261644341228916,14.274600305737017
2026-03-10 14:01:00,2026-03-10 14:01:00,1,1,2000,69610.9,3.361604548008934,4.474121332587178
2026-03-10 15:05:00,2026-03-10 15:06:00,2,1,2000,71148.28,-2.0204706231530256,5.279125826251896
2026-03-10 15:34:00,2026-03-10 15:34:00,1,1,2000,71218.0,-4.7288241794063435,-2.621983360194813
2026-03-11 05:42:00,2026-03-11 05:42:00,1,1,2000,69420.0,1.4673557152367067,2.4398208714826453
2026-03-11 13:51:00,2026-03-11 13:51:00,1,1,2000,69960.79,3.654904344811971,6.570008977009323
2026-03-11 15:30:00,2026-03-11 15:30:00,1,1,2000,69924.02,0.5884775576348034,1.9116684735953626
2026-03-11 17:36:00,2026-03-11 17:36:00,1,1,2000,70719.49,-0.29974449215708354,-0.29974449215708354
2026-03-13 14:43:00,2026-03-13 14:43:00,1,1,2000,72963.51,-4.018086147884459,-4.018086147884459
2026-03-13 15:02:00,2026-03-13 15:02:00,1,1,2000,72168.0,-1.6762597366482002,0.2249578927049356
2026-03-16 04:55:00,2026-03-16 04:55:00,1,1,2000,73942.27,-16.56892816852773,-16.56892816852773
2026-03-16 14:30:00,2026-03-16 14:30:00,1,1,2000,73269.0,-8.941308118299851,-7.296984979462406
2026-03-16 21:05:00,2026-03-16 21:05:00,1,1,2000,74151.18,0.10991412471073048,3.764019331535806
2026-03-17 10:06:00,2026-03-17 10:06:00,1,1,2000,73560.98,5.376290457856925,14.68464713044959
2026-03-18 11:30:00,2026-03-18 11:30:00,1,1,2000,73202.44,-8.519173114729384,-8.355232563589388
2026-03-18 12:30:00,2026-03-18 12:30:00,1,1,2000,72500.0,1.9426382355813843,1.9426382355813843
2026-03-19 04:07:00,2026-03-19 04:07:00,1,1,2000,70738.2,9.629203346277482,11.18087869381501
2026-03-20 13:31:00,2026-03-20 13:31:00,1,1,2000,70074.87,0.7793827300739409,3.326499430513774
2026-03-21 23:51:00,2026-03-21 23:52:00,2,2,4000,68924.0,-11.429098824007333,17.264028344126103
2026-03-21 23:57:00,2026-03-21 23:57:00,1,1,2000,68571.42,-0.20376621494344604,5.137912599926242
2026-03-22 00:01:00,2026-03-22 00:01:00,1,2,4000,68311.0,-9.566125780552381,-4.71147439352726
2026-03-22 21:05:00,2026-03-22 21:05:00,1,3,6000,67552.03,-10.119404219574024,2.26114370345476
2026-03-23 06:42:00,2026-03-23 06:42:00,1,1,2000,67790.64,-4.87769898769197,-4.422204149168163
2026-03-23 11:10:00,2026-03-23 11:10:00,1,1,2000,70842.44,-0.7218105492023952,3.296819040410348
2026-03-23 11:14:00,2026-03-23 11:14:00,1,1,2000,70876.11,-7.355650992640905,-3.703664073896329
2026-03-23 11:23:00,2026-03-23 11:23:00,1,1,2000,70452.95,4.320726989932577,4.320726989932577
2026-03-23 11:47:00,2026-03-23 11:47:00,1,1,2000,70108.0,6.962431153705317,6.962431153705317
2026-03-23 11:55:00,2026-03-23 11:55:00,1,1,2000,70152.48,-5.529391272793838,-5.389232475614403
2026-03-23 12:01:00,2026-03-23 12:01:00,1,1,2000,69696.96,-7.799018788402501,6.608432283585763
2026-03-26 09:31:00,2026-03-26 09:31:00,1,1,2000,69589.86,-2.658604817923349,6.678584917045871
2026-03-26 15:15:00,2026-03-26 15:15:00,1,1,2000,68632.4,2.545052682929594,36.55464521930219
2026-03-26 17:57:00,2026-03-26 17:57:00,1,1,2000,68377.83,4.620155752781407,26.36018793244821
2026-03-27 08:35:00,2026-03-27 08:35:00,1,1,2000,67907.92,0.013491023296285931,0.7102689167703957
2026-03-27 10:37:00,2026-03-27 10:38:00,2,3,6000,66862.06,-16.152421302371156,13.742580444124908
2026-03-27 10:55:00,2026-03-27 10:55:00,1,1,2000,66326.38,-3.2337714961105934,12.615833103259977
2026-03-27 15:24:00,2026-03-27 15:24:00,1,1,2000,66142.63,-0.7410264675022926,11.233966781460936
2026-03-29 22:41:00,2026-03-29 22:41:00,1,1,2000,65825.02,-12.317544507629563,-12.317544507629563
2026-03-29 22:45:00,2026-03-29 22:45:00,1,3,6000,65050.0,-25.1212146766322,-2.769092301802001
2026-03-31 14:51:00,2026-03-31 14:51:00,1,2,4000,66517.61,-3.1160317375222846,-3.1160317375222846
2026-04-01 13:43:00,2026-04-01 13:43:00,1,1,2000,67918.83,9.413302925329603,14.648287803722404
2026-04-02 01:05:00,2026-04-02 01:05:00,1,2,4000,67638.74,-13.78424328678185,0.10878871272268498
2026-04-02 01:22:00,2026-04-02 01:22:00,1,1,2000,67313.97,3.282332922840414,3.326916203825192
2026-04-02 08:59:00,2026-04-02 08:59:00,1,1,2000,66180.0,36.15181760198594,37.518482631211384
2026-04-06 14:38:00,2026-04-06 14:38:00,1,1,2000,69353.47,-10.6641249895012,-5.78508974871661
2026-04-06 23:07:00,2026-04-06 23:07:00,1,1,2000,68300.0,6.369493666633641,15.84281890398831
2026-04-07 22:38:00,2026-04-07 22:38:00,1,1,2000,70954.95,5.25513625285301,6.222330388008235
2026-04-09 15:38:00,2026-04-09 15:38:00,1,1,2000,71862.21,-0.9372296845500117,0.3992481366243972
2026-04-10 14:42:00,2026-04-10 14:42:00,1,1,2000,72750.05,21.446519105181583,21.446519105181583
2026-04-12 01:35:00,2026-04-12 01:35:00,1,2,4000,72188.88,-11.597095245755584,-7.195562803176125
2026-04-12 01:41:00,2026-04-12 01:41:00,1,1,2000,71874.39,7.578937923076179,7.578937923076179
2026-04-12 01:43:00,2026-04-12 01:43:00,1,1,2000,71555.0,-8.189535749093535,-4.641137096687009
2026-04-12 12:52:00,2026-04-12 12:52:00,1,1,2000,71100.0,1.7224611144928126,1.7224611144928126
2026-04-12 22:00:00,2026-04-12 22:00:00,1,2,4000,70922.0,1.415189910700665,1.415189910700665
2026-04-15 15:30:00,2026-04-15 15:30:00,1,1,2000,73700.0,1.969304102296121,1.969304102296121
2026-04-16 13:52:00,2026-04-16 13:52:00,1,1,2000,73893.51,-9.943755701390389,-9.943755701390389
2026-04-16 13:54:00,2026-04-16 13:54:00,1,1,2000,73400.5,3.2108078200865364,7.7880726784052
2026-04-17 09:30:00,2026-04-17 09:30:00,1,1,2000,75928.03,-2.087323379232897,-1.5352957423298008
2026-04-17 10:28:00,2026-04-17 10:28:00,1,1,2000,75252.96,-7.840301959016749,3.5648317041303557
2026-04-17 12:26:00,2026-04-17 12:26:00,1,1,2000,75635.02,1.925204038768502,1.925204038768502
2026-04-17 13:31:00,2026-04-17 13:31:00,1,1,2000,76130.42,4.685144068830027,5.244116529348197
